src_port,dst_port,bytes_sent,bytes_received,is_internal_traffic,label,has_url,protocol_ICMP,protocol_TCP,protocol_UDP,hour,day_of_week,is_weekend,is_night,total_bytes,bytes_ratio,port_diff,src_port_is_well_known,dst_port_is_well_known,src_port_is_ephemeral,dst_port_is_ephemeral,dst_port_common,src_port_common
56377,445,8029,17204,0,0,1,0,1,0,0,2,0,1,25233,0.4666666666666667,55932,0,1,1,0,1,0
51165,1433,676368,2643374,0,0,1,0,1,0,0,2,0,1,3319742,0.25587288977159883,49732,0,0,1,0,1,0
14948,1433,316502,38571,0,0,0,0,1,0,0,2,0,1,355073,8.205485844654154,13515,0,0,0,0,1,0
36097,443,70933,21935,0,0,1,0,1,0,0,2,0,1,92868,3.233634208606856,35654,0,1,0,0,1,0
445,21255,12721,9939,0,0,1,0,1,0,0,2,0,1,22660,1.279778672032193,20810,1,0,0,0,0,1
58858,445,150393,94993,0,0,0,0,0,1,0,2,0,1,245386,1.5831842011074384,58413,0,1,1,0,1,0
25167,443,3592,1081,1,0,1,0,1,0,1,2,0,1,4673,3.319778188539741,24724,0,1,0,0,1,0
37602,22,123317,41293,0,0,1,0,1,0,1,2,0,1,164610,2.986317624836538,37580,0,1,0,0,1,0
18315,53,97222,233071,0,0,1,0,1,0,1,2,0,1,330293,0.417132903137228,18262,0,1,0,0,1,0
12283,21,17289,35727,0,0,0,0,1,0,1,2,0,1,53016,0.4839061800268697,12262,0,1,0,0,1,0
12037,80,136311,418831,1,0,1,0,0,1,1,2,0,1,555142,0.32545507506589755,11957,0,1,0,0,1,0
80,213,3150,11715,0,1,0,0,1,0,2,2,0,1,14865,0.2688630932058723,133,1,1,0,0,0,1
60094,53,2909,7940,0,0,0,0,0,1,2,2,0,1,10849,0.3663266591109432,60041,0,1,1,0,1,0
28959,80,105318,46807,0,0,0,0,1,0,2,2,0,1,152125,2.25,28879,0,1,0,0,1,0
27098,3389,19218,16094,0,0,0,0,1,0,2,2,0,1,35312,1.1940354147250698,23709,0,0,0,0,1,0
19578,21,57690,96184,0,0,0,0,1,0,3,2,0,1,153874,0.5997816707386807,19557,0,1,0,0,1,0
37290,1433,405720,1305168,0,0,1,0,1,0,3,2,0,1,1710888,0.3108562952383944,35857,0,0,0,0,1,0
22933,80,6935,19414,0,0,0,0,1,0,3,2,0,1,26349,0.3571980427504507,22853,0,1,0,0,1,0
10972,22,17511,35981,0,0,1,0,1,0,3,2,0,1,53492,0.48665999666499915,10950,0,1,0,0,1,0
3389,21,271417,482806,0,0,1,0,1,0,4,2,0,1,754223,0.5621645916484227,3368,0,1,0,0,1,1
53,443,64213,67744,0,0,1,0,1,0,5,2,0,1,131957,0.9478633109454573,390,1,1,0,0,1,1
24974,3389,7189,8460,1,0,0,0,1,0,5,2,0,1,15649,0.8496631603829334,21585,0,0,0,0,1,0
57116,445,4778,11371,0,0,1,0,0,1,5,2,0,1,16149,0.4201547660921562,56671,0,1,1,0,1,0
53819,443,9462,14565,0,0,1,0,1,0,5,2,0,1,24027,0.6495949471371687,53376,0,1,1,0,1,0
35602,21,6758,9064,0,0,0,0,1,0,5,2,0,1,15822,0.7455046883618313,35581,0,1,0,0,1,0
51620,1433,32201,128441,0,0,1,0,1,0,6,2,0,0,160642,0.2507045981843945,50187,0,0,1,0,1,0
25424,445,24971,7262,0,0,1,0,0,1,6,2,0,0,32233,3.4381109734269586,24979,0,1,0,0,1,0
19269,5,7781,26386,0,1,1,0,0,1,6,2,0,0,34167,0.2948800545723273,19264,0,1,0,0,0,0
40858,3389,5737,22359,0,0,1,0,1,0,7,2,0,0,28096,0.2565742397137746,37469,0,0,0,0,1,0
43570,443,19666,37072,1,0,1,0,1,0,7,2,0,0,56738,0.5304669166239582,43127,0,1,0,0,1,0
57588,21,821,2803,0,0,0,0,1,0,8,2,0,0,3624,0.2927960057061341,57567,0,1,1,0,1,0
22,22,27778,106478,0,0,1,1,0,0,8,2,0,0,134256,0.26087773175931406,0,1,1,0,0,1,1
21027,53,144452,444250,1,0,1,0,0,1,8,2,0,0,588702,0.3251585252481142,20974,0,1,0,0,1,0
3577,443,2253,7192,0,0,0,0,0,1,8,2,0,0,9445,0.31322118726539694,3134,0,1,0,0,1,0
24447,445,47738,59837,0,0,1,0,1,0,9,2,0,0,107575,0.7977873592031819,24002,0,1,0,0,1,0
22,80,8286,19778,0,0,1,0,1,0,9,2,0,0,28064,0.4189291672986501,58,1,1,0,0,1,1
25,22,79538,141624,0,0,1,0,0,1,10,2,0,0,221162,0.5616098852603707,3,1,1,0,0,1,1
1433,443,28391,105998,1,0,1,0,1,0,10,2,0,0,134389,0.2678421494542401,990,0,1,0,0,1,1
29599,80,42088,146722,0,0,1,0,1,0,10,2,0,0,188810,0.28685345855796296,29519,0,1,0,0,1,0
25170,53,24433,60898,0,0,0,0,1,0,10,2,0,0,85331,0.4012052743066389,25117,0,1,0,0,1,0
22,443,184486,202730,1,0,1,0,0,1,10,2,0,0,387216,0.9100038967893416,421,1,1,0,0,1,1
28933,22,38401,157040,0,0,0,0,1,0,11,2,0,0,195441,0.2445284989270318,28911,0,1,0,0,1,0
443,1433,7124,9076,1,0,1,0,1,0,11,2,0,0,16200,0.7848408064338438,990,1,0,0,0,1,1
24239,22,25795,9386,0,0,0,0,1,0,12,2,0,0,35181,2.7479492915734527,24217,0,1,0,0,1,0
